nama_variabel,nama_tahun,nama_wilayah,data_content
Index Kedalaman Kemiskinan,2023,Kota Tebing Tinggi,1.49
Index Kedalaman Kemiskinan,2023,Kota Medan,0.92
Index Kedalaman Kemiskinan,2023,Kota Binjai,0.48
Index Kedalaman Kemiskinan,2023,Kota Padangsidimpuan,0.87
Index Kedalaman Kemiskinan,2023,Kota Gunungsitoli,2.08
Index Kedalaman Kemiskinan,2023,SUMATERA BARAT,0.82
Index Kedalaman Kemiskinan,2023,Kepulauan Mentawai,1.98
Index Kedalaman Kemiskinan,2023,Pesisir Selatan,0.9
Index Kedalaman Kemiskinan,2023,Solok,0.93
Index Kedalaman Kemiskinan,2023,Sijunjung,0.85
Index Kedalaman Kemiskinan,2023,Tanah Datar,0.4
Index Kedalaman Kemiskinan,2023,Padang Pariaman,0.74
Index Kedalaman Kemiskinan,2023,Agam,0.75
Index Kedalaman Kemiskinan,2023,Lima Puluh Kota,1.07
Index Kedalaman Kemiskinan,2023,Pasaman,0.73
Index Kedalaman Kemiskinan,2023,Solok Selatan,1.1
Index Kedalaman Kemiskinan,2023,Dharmasraya,0.42
Index Kedalaman Kemiskinan,2023,Pasaman Barat,0.98
Index Kedalaman Kemiskinan,2023,Kota Padang,0.44
Index Kedalaman Kemiskinan,2023,Kota Solok,0.19
Index Kedalaman Kemiskinan,2023,Kota Sawah Lunto,0.17
Index Kedalaman Kemiskinan,2023,Kota Padang Panjang,0.7
Index Kedalaman Kemiskinan,2023,Kota Bukittinggi,0.63
Index Kedalaman Kemiskinan,2023,Kota Payakumbuh,0.76
Index Kedalaman Kemiskinan,2023,Kota Pariaman,0.48
Index Kedalaman Kemiskinan,2023,RIAU,1
Index Kedalaman Kemiskinan,2023,Kuantan Singingi,1.17
Index Kedalaman Kemiskinan,2023,Indragiri Hulu,1.14
Index Kedalaman Kemiskinan,2023,Indragiri Hilir,0.68
Index Kedalaman Kemiskinan,2023,Pelalawan,1.05
Index Kedalaman Kemiskinan,2023,Siak,0.66
Index Kedalaman Kemiskinan,2023,Kampar,0.72
Index Kedalaman Kemiskinan,2023,Rokan Hulu,1.54
Index Kedalaman Kemiskinan,2023,Bengkalis,1.03
Index Kedalaman Kemiskinan,2023,Rokan Hilir,1.22
Index Kedalaman Kemiskinan,2023,Kepulauan Meranti,3.86
Index Kedalaman Kemiskinan,2023,Kota Pekanbaru,0.38
Index Kedalaman Kemiskinan,2023,Kota Dumai,0.36
Index Kedalaman Kemiskinan,2023,JAMBI,1.2
Index Kedalaman Kemiskinan,2023,Kerinci,1.08
Index Kedalaman Kemiskinan,2023,Merangin,1.02
Index Kedalaman Kemiskinan,2023,Sarolangun,1.49
Index Kedalaman Kemiskinan,2023,Batang Hari,1.19
Index Kedalaman Kemiskinan,2023,Muaro Jambi,0.62
Index Kedalaman Kemiskinan,2023,Tanjung Jabung Timur,1.7
Index Kedalaman Kemiskinan,2023,Tanjung Jabung Barat,1.47
Index Kedalaman Kemiskinan,2023,Tebo,0.93
Index Kedalaman Kemiskinan,2023,Bungo,0.59
Index Kedalaman Kemiskinan,2023,Kota Jambi,1.31
Index Kedalaman Kemiskinan,2023,Kota Sungai Penuh,0.51
Index Kedalaman Kemiskinan,2023,SUMATERA SELATAN,1.72
Index Kedalaman Kemiskinan,2023,Ogan Komering Ulu,1.59
Index Kedalaman Kemiskinan,2023,Ogan Komering Ilir,2.91
Index Kedalaman Kemiskinan,2023,Muara Enim,1.92
Index Kedalaman Kemiskinan,2023,Lahat,2.49
Index Kedalaman Kemiskinan,2023,Musi Rawas,1.99
Index Kedalaman Kemiskinan,2023,Musi Banyuasin,1.77
Index Kedalaman Kemiskinan,2023,Banyu Asin,1.2
Index Kedalaman Kemiskinan,2023,Ogan Komering Ulu Selatan,1.86
Index Kedalaman Kemiskinan,2023,Ogan Komering Ulu Timur,0.92
Index Kedalaman Kemiskinan,2023,Ogan Ilir,1.48
Index Kedalaman Kemiskinan,2023,Empat Lawang,1.15
Index Kedalaman Kemiskinan,2023,Penukal Abab Lematang Ilir,0.99
Index Kedalaman Kemiskinan,2023,Musi Rawas Utara,3.33
Index Kedalaman Kemiskinan,2023,Kota Palembang,2.06
Index Kedalaman Kemiskinan,2023,Kota Prabumulih,1.48
Index Kedalaman Kemiskinan,2023,Kota Pagar Alam,1.11
Index Kedalaman Kemiskinan,2023,Kota Lubuklinggau,1.49
Index Kedalaman Kemiskinan,2023,BENGKULU,2.14
Index Kedalaman Kemiskinan,2023,Bengkulu Selatan,2.72
Index Kedalaman Kemiskinan,2023,Rejang Lebong,2.81
Index Kedalaman Kemiskinan,2023,Bengkulu Utara,1.33
Index Kedalaman Kemiskinan,2023,Kaur,3.64
Index Kedalaman Kemiskinan,2023,Seluma,4.04
Index Kedalaman Kemiskinan,2023,Mukomuko,1.54
Index Kedalaman Kemiskinan,2023,Lebong,1.45
Index Kedalaman Kemiskinan,2023,Kepahiang,1.87
Index Kedalaman Kemiskinan,2023,Bengkulu Tengah,1.39
Index Kedalaman Kemiskinan,2023,Kota Bengkulu,2.84
Index Kedalaman Kemiskinan,2023,LAMPUNG,1.64
Index Kedalaman Kemiskinan,2023,Lampung Barat,2.34
Index Kedalaman Kemiskinan,2023,Tanggamus,1.21
Index Kedalaman Kemiskinan,2023,Lampung Selatan,2.16
Index Kedalaman Kemiskinan,2023,Lampung Timur,2.11
Index Kedalaman Kemiskinan,2023,Lampung Tengah,1.57
Index Kedalaman Kemiskinan,2023,Lampung Utara,2.37
Index Kedalaman Kemiskinan,2023,Way Kanan,1.85
Index Kedalaman Kemiskinan,2023,Tulangbawang,1.09
Index Kedalaman Kemiskinan,2023,Pesawaran,1.63
Index Kedalaman Kemiskinan,2023,Pringsewu,0.99
Index Kedalaman Kemiskinan,2023,Mesuji,1.18
Index Kedalaman Kemiskinan,2023,Tulang Bawang Barat,1.04
Index Kedalaman Kemiskinan,2023,Pesisir Barat,1.88
Index Kedalaman Kemiskinan,2023,Kota Bandar Lampung,1.16
Index Kedalaman Kemiskinan,2023,Kota Metro,1.12
Index Kedalaman Kemiskinan,2023,KEP. BANGKA BELITUNG,0.63
Index Kedalaman Kemiskinan,2023,Bangka,0.35
Index Kedalaman Kemiskinan,2023,Belitung,1.02
Index Kedalaman Kemiskinan,2023,Bangka Barat,0.42
Index Kedalaman Kemiskinan,2023,Bangka Tengah,0.64
Index Kedalaman Kemiskinan,2023,Bangka Selatan,0.26
Index Kedalaman Kemiskinan,2023,Belitung Timur,0.91
Index Kedalaman Kemiskinan,2023,Kota Pangkal Pinang,0.62
Index Kedalaman Kemiskinan,2023,KEPULAUAN RIAU,0.82
Index Kedalaman Kemiskinan,2023,Karimun,0.53
Index Kedalaman Kemiskinan,2023,Bintan,0.68
Index Kedalaman Kemiskinan,2023,Natuna,0.7
Index Kedalaman Kemiskinan,2023,Lingga,1.6
Index Kedalaman Kemiskinan,2023,Kepulauan Anambas,0.78
Index Kedalaman Kemiskinan,2023,Kota Batam,0.59
Index Kedalaman Kemiskinan,2023,Kota Tanjung Pinang,1.18
Index Kedalaman Kemiskinan,2023,DKI JAKARTA,0.7
Index Kedalaman Kemiskinan,2023,Kepulauan Seribu,1.52
Index Kedalaman Kemiskinan,2023,Kota Jakarta Selatan,0.37
Index Kedalaman Kemiskinan,2023,Kota Jakarta Timur,0.76
Index Kedalaman Kemiskinan,2023,Kota Jakarta Pusat,0.66
Index Kedalaman Kemiskinan,2023,Kota Jakarta Barat,0.59
Index Kedalaman Kemiskinan,2023,Kota Jakarta Utara,1.3
Index Kedalaman Kemiskinan,2023,JAWA BARAT,1.17
Index Kedalaman Kemiskinan,2023,Bogor,0.97
Index Kedalaman Kemiskinan,2023,Sukabumi,1.01
Index Kedalaman Kemiskinan,2023,Cianjur,1.29
Index Kedalaman Kemiskinan,2023,Bandung,1.1
Index Kedalaman Kemiskinan,2023,Garut,1.17
Index Kedalaman Kemiskinan,2023,Tasikmalaya,1.61
Index Kedalaman Kemiskinan,2023,Ciamis,0.9
Index Kedalaman Kemiskinan,2023,Kuningan,1.87
Index Kedalaman Kemiskinan,2023,Cirebon,1.98
Index Kedalaman Kemiskinan,2023,Majalengka,1.34
Index Kedalaman Kemiskinan,2023,Sumedang,1.64
Index Kedalaman Kemiskinan,2023,Indramayu,2.2
Index Kedalaman Kemiskinan,2023,Subang,1.9
Index Kedalaman Kemiskinan,2023,Purwakarta,1.48
Index Kedalaman Kemiskinan,2023,Karawang,1.06
Index Kedalaman Kemiskinan,2023,Bekasi,0.82
Index Kedalaman Kemiskinan,2023,Bandung Barat,1.54
Index Kedalaman Kemiskinan,2023,Pangandaran,1.28
Index Kedalaman Kemiskinan,2023,Kota Bogor,0.99
Index Kedalaman Kemiskinan,2023,Kota Sukabumi,1.21
Index Kedalaman Kemiskinan,2023,Kota Bandung,0.59
Index Kedalaman Kemiskinan,2023,Kota Cirebon,1.29
Index Kedalaman Kemiskinan,2023,Kota Bekasi,0.63
Index Kedalaman Kemiskinan,2023,Kota Depok,0.24
Index Kedalaman Kemiskinan,2023,Kota Cimahi,0.54
Index Kedalaman Kemiskinan,2023,Kota Tasikmalaya,1.62
Index Kedalaman Kemiskinan,2023,Kota Banjar,0.68
Index Kedalaman Kemiskinan,2023,JAWA TENGAH,1.75
Index Kedalaman Kemiskinan,2023,Cilacap,1.54
Index Kedalaman Kemiskinan,2023,Banyumas,1.78
Index Kedalaman Kemiskinan,2023,Purbalingga,2.52
Index Kedalaman Kemiskinan,2023,Banjarnegara,2.34
Index Kedalaman Kemiskinan,2023,Kebumen,2.89
Index Kedalaman Kemiskinan,2023,Purworejo,1.78
Index Kedalaman Kemiskinan,2023,Wonosobo,2.6
Index Kedalaman Kemiskinan,2023,Magelang,1.73
Index Kedalaman Kemiskinan,2023,Boyolali,1.02
Index Kedalaman Kemiskinan,2023,Klaten,1.7
Index Kedalaman Kemiskinan,2023,Sukoharjo,1.17
Index Kedalaman Kemiskinan,2023,Wonogiri,1.32
Index Kedalaman Kemiskinan,2023,Karanganyar,1.22
Index Kedalaman Kemiskinan,2023,Sragen,2.15
Index Kedalaman Kemiskinan,2023,Grobogan,1.48
Index Kedalaman Kemiskinan,2023,Blora,1.35
Index Kedalaman Kemiskinan,2023,Rembang,2.52
Index Kedalaman Kemiskinan,2023,Pati,1.64
Index Kedalaman Kemiskinan,2023,Kudus,0.99
Index Kedalaman Kemiskinan,2023,Jepara,1.01
Index Kedalaman Kemiskinan,2023,Demak,1.83
Index Kedalaman Kemiskinan,2023,Semarang,0.82
Index Kedalaman Kemiskinan,2023,Temanggung,0.99
Index Kedalaman Kemiskinan,2023,Kendal,1.19
Index Kedalaman Kemiskinan,2023,Batang,1.85
Index Kedalaman Kemiskinan,2023,Pekalongan,1.3
Index Kedalaman Kemiskinan,2023,Pemalang,2.4
Index Kedalaman Kemiskinan,2023,Tegal,0.88
Index Kedalaman Kemiskinan,2023,Brebes,2.98
Index Kedalaman Kemiskinan,2023,Kota Magelang,0.74
Index Kedalaman Kemiskinan,2023,Kota Surakarta,1
Index Kedalaman Kemiskinan,2023,Kota Salatiga,0.75
Index Kedalaman Kemiskinan,2023,Kota Semarang,0.54
Index Kedalaman Kemiskinan,2023,Kota Pekalongan,0.82
Index Kedalaman Kemiskinan,2023,Kota Tegal,0.86
Index Kedalaman Kemiskinan,2023,D I YOGYAKARTA,1.72
Index Kedalaman Kemiskinan,2023,Kulon Progo,2.54
Index Kedalaman Kemiskinan,2023,Bantul,1.79
Index Kedalaman Kemiskinan,2023,Gunung Kidul,2.71
Index Kedalaman Kemiskinan,2023,Sleman,1.34
Index Kedalaman Kemiskinan,2023,Kota Yogyakarta,0.86
Index Kedalaman Kemiskinan,2023,JAWA TIMUR,1.63
Index Kedalaman Kemiskinan,2023,Pacitan,1.73
Index Kedalaman Kemiskinan,2023,Ponorogo,1.12
Index Kedalaman Kemiskinan,2023,Trenggalek,1.26
Index Kedalaman Kemiskinan,2023,Tulungagung,0.94
Index Kedalaman Kemiskinan,2023,Blitar,1.21
Index Kedalaman Kemiskinan,2023,Kediri,1.52
Index Kedalaman Kemiskinan,2023,Malang,0.98
Index Kedalaman Kemiskinan,2023,Lumajang,1.41
Index Kedalaman Kemiskinan,2023,Jember,1.17
Index Kedalaman Kemiskinan,2023,Banyuwangi,0.89
Index Kedalaman Kemiskinan,2023,Bondowoso,2.06
Index Kedalaman Kemiskinan,2023,Situbondo,1.59
Index Kedalaman Kemiskinan,2023,Probolinggo,2.87
Index Kedalaman Kemiskinan,2023,Pasuruan,1.22
Index Kedalaman Kemiskinan,2023,Sidoarjo,0.72
Index Kedalaman Kemiskinan,2023,Mojokerto,1.73
Index Kedalaman Kemiskinan,2023,Jombang,1.15
Index Kedalaman Kemiskinan,2023,Nganjuk,1.48
Index Kedalaman Kemiskinan,2023,Madiun,1.47
Index Kedalaman Kemiskinan,2023,Magetan,1.11
Index Kedalaman Kemiskinan,2023,Ngawi,2.29
Index Kedalaman Kemiskinan,2023,Bojonegoro,1.94
Index Kedalaman Kemiskinan,2023,Tuban,1.95
Index Kedalaman Kemiskinan,2023,Lamongan,1.73
Index Kedalaman Kemiskinan,2023,Gresik,1.63
Index Kedalaman Kemiskinan,2023,Bangkalan,3.25
Index Kedalaman Kemiskinan,2023,Sampang,2.84
Index Kedalaman Kemiskinan,2023,Pamekasan,1.48
Index Kedalaman Kemiskinan,2023,Sumenep,4.51
Index Kedalaman Kemiskinan,2023,Kota Kediri,1.08
Index Kedalaman Kemiskinan,2023,Kota Blitar,0.81
Index Kedalaman Kemiskinan,2023,Kota Malang,0.76
Index Kedalaman Kemiskinan,2023,Kota Probolinggo,1.13
Index Kedalaman Kemiskinan,2023,Kota Pasuruan,1.26
Index Kedalaman Kemiskinan,2023,Kota Mojokerto,0.78
Index Kedalaman Kemiskinan,2023,Kota Madiun,0.65
Index Kedalaman Kemiskinan,2023,Kota Surabaya,0.71
Index Kedalaman Kemiskinan,2023,Kota Batu,0.35
Index Kedalaman Kemiskinan,2023,BANTEN,1.2
Index Kedalaman Kemiskinan,2023,Pandeglang,1.56
Index Kedalaman Kemiskinan,2023,Lebak,1.73
Index Kedalaman Kemiskinan,2023,Tangerang,1.31
Index Kedalaman Kemiskinan,2023,Serang,0.67
Index Kedalaman Kemiskinan,2023,Kota Tangerang,0.88
Index Kedalaman Kemiskinan,2023,Kota Cilegon,0.48
Index Kedalaman Kemiskinan,2023,Kota Serang,0.75
Index Kedalaman Kemiskinan,2023,Kota Tangerang Selatan,0.45
Index Kedalaman Kemiskinan,2023,BALI,0.55
Index Kedalaman Kemiskinan,2023,Jembrana,0.38
Index Kedalaman Kemiskinan,2023,Tabanan,0.52
Index Kedalaman Kemiskinan,2023,Badung,0.11
Index Kedalaman Kemiskinan,2023,Gianyar,0.42
Index Kedalaman Kemiskinan,2023,Klungkung,0.58
Index Kedalaman Kemiskinan,2023,Bangli,0.75
Index Kedalaman Kemiskinan,2023,Karang Asem,0.62
Index Kedalaman Kemiskinan,2023,Buleleng,0.53
Index Kedalaman Kemiskinan,2023,Kota Denpasar,0.35
Index Kedalaman Kemiskinan,2023,NUSA TENGGARA BARAT,2.38
Index Kedalaman Kemiskinan,2023,Lombok Barat,1.78
Index Kedalaman Kemiskinan,2023,Lombok Tengah,2.12
Index Kedalaman Kemiskinan,2023,Lombok Timur,3.57
Index Kedalaman Kemiskinan,2023,Sumbawa,2.27
Index Kedalaman Kemiskinan,2023,Dompu,1.84
Index Kedalaman Kemiskinan,2023,Bima,2.19
Index Kedalaman Kemiskinan,2023,Sumbawa Barat,2.03
Index Kedalaman Kemiskinan,2023,Lombok Utara,4.44
Index Kedalaman Kemiskinan,2023,Kota Mataram,1.94
Index Kedalaman Kemiskinan,2023,Kota Bima,1.5
Index Kedalaman Kemiskinan,2023,NUSA TENGGARA TIMUR,3.33
Index Kedalaman Kemiskinan,2023,Sumba Barat,6.92
Index Kedalaman Kemiskinan,2023,Sumba Timur,7.72
Index Kedalaman Kemiskinan,2023,Kupang,3.68
Index Kedalaman Kemiskinan,2023,Timor Tengah Selatan,5.78
Index Kedalaman Kemiskinan,2023,Timor Tengah Utara,3.71
Index Kedalaman Kemiskinan,2023,Belu,2.07
Index Kedalaman Kemiskinan,2023,Alor,2.82
Index Kedalaman Kemiskinan,2023,Lembata,4.56
Index Kedalaman Kemiskinan,2023,Flores Timur,1.74
Index Kedalaman Kemiskinan,2023,Sikka,1.58
Index Kedalaman Kemiskinan,2023,Ende,3.59
Index Kedalaman Kemiskinan,2023,Ngada,1.77
Index Kedalaman Kemiskinan,2023,Manggarai,4.63
Index Kedalaman Kemiskinan,2023,Rote Ndao,4.97
Index Kedalaman Kemiskinan,2023,Manggarai Barat,3.59
Index Kedalaman Kemiskinan,2023,Sumba Tengah,8.16
Index Kedalaman Kemiskinan,2023,Sumba Barat Daya,5.86
Index Kedalaman Kemiskinan,2023,Nagekeo,1.16
Index Kedalaman Kemiskinan,2023,Manggarai Timur,5.57
Index Kedalaman Kemiskinan,2023,Sabu Raijua,5.16
Index Kedalaman Kemiskinan,2023,Malaka,2.3
Index Kedalaman Kemiskinan,2023,Kota Kupang,1.07
Index Kedalaman Kemiskinan,2023,KALIMANTAN BARAT,1.03
Index Kedalaman Kemiskinan,2023,Sambas,1.1
Index Kedalaman Kemiskinan,2023,Bengkayang,0.98
Index Kedalaman Kemiskinan,2023,Landak,1.32
Index Kedalaman Kemiskinan,2023,Pontianak,0.52
Index Kedalaman Kemiskinan,2023,Sanggau,0.55
Index Kedalaman Kemiskinan,2023,Ketapang,1.84
Index Kedalaman Kemiskinan,2023,Sintang,1.16
Index Kedalaman Kemiskinan,2023,Kapuas Hulu,1.51
Index Kedalaman Kemiskinan,2023,Sekadau,0.91
Index Kedalaman Kemiskinan,2023,Melawi,2.47
Index Kedalaman Kemiskinan,2023,Kayong Utara,1.71
Index Kedalaman Kemiskinan,2023,Kubu Raya,0.56
Index Kedalaman Kemiskinan,2023,Kota Pontianak,0.49
Index Kedalaman Kemiskinan,2023,Kota Singkawang,0.74
Index Kedalaman Kemiskinan,2023,KALIMANTAN TENGAH,0.66
Index Kedalaman Kemiskinan,2023,Kotawaringin Barat,0.55
Index Kedalaman Kemiskinan,2023,Kotawaringin Timur,0.75
Index Kedalaman Kemiskinan,2023,Kapuas,0.73
Index Kedalaman Kemiskinan,2023,Barito Selatan,0.41
Index Kedalaman Kemiskinan,2023,Barito Utara,0.57
Index Kedalaman Kemiskinan,2023,Sukamara,0.29
Index Kedalaman Kemiskinan,2023,Lamandau,0.33
Index Kedalaman Kemiskinan,2023,Seruyan,0.6
Index Kedalaman Kemiskinan,2023,Katingan,0.68
Index Kedalaman Kemiskinan,2023,Pulang Pisau,0.53
Index Kedalaman Kemiskinan,2023,Gunung Mas,0.49
Index Kedalaman Kemiskinan,2023,Barito Timur,0.75
Index Kedalaman Kemiskinan,2023,Murung Raya,0.9
Index Kedalaman Kemiskinan,2023,Kota Palangka Raya,0.27
Index Kedalaman Kemiskinan,2023,KALIMANTAN SELATAN,0.61
Index Kedalaman Kemiskinan,2023,Tanah Laut,0.3
Index Kedalaman Kemiskinan,2023,Kota Baru,0.92
Index Kedalaman Kemiskinan,2023,Banjar,0.38
Index Kedalaman Kemiskinan,2023,Barito Kuala,1.14
Index Kedalaman Kemiskinan,2023,Tapin,0.31
Index Kedalaman Kemiskinan,2023,Hulu Sungai Selatan,0.69
Index Kedalaman Kemiskinan,2023,Hulu Sungai Tengah,0.63
Index Kedalaman Kemiskinan,2023,Hulu Sungai Utara,0.63
Index Kedalaman Kemiskinan,2023,Tabalong,0.46
Index Kedalaman Kemiskinan,2023,Tanah Bumbu,0.42
Index Kedalaman Kemiskinan,2023,Balangan,0.55
Index Kedalaman Kemiskinan,2023,Kota Banjarmasin,0.55
Index Kedalaman Kemiskinan,2023,Kota Banjar Baru,0.62
Index Kedalaman Kemiskinan,2023,KALIMANTAN TIMUR,0.77
Index Kedalaman Kemiskinan,2023,Paser,1.04
Index Kedalaman Kemiskinan,2023,Kutai Barat,1.29
Index Kedalaman Kemiskinan,2023,Kutai Kartanegara,0.91
Index Kedalaman Kemiskinan,2023,Kutai Timur,1.2
Index Kedalaman Kemiskinan,2023,Berau,0.16
Index Kedalaman Kemiskinan,2023,Penajam Paser Utara,0.75
Index Kedalaman Kemiskinan,2023,Mahakam Hulu,1.02
Index Kedalaman Kemiskinan,2023,Kota Balikpapan,0.25
Index Kedalaman Kemiskinan,2023,Kota Samarinda,0.75
Index Kedalaman Kemiskinan,2023,Kota Bontang,0.39
Index Kedalaman Kemiskinan,2023,KALIMANTAN UTARA,0.64
Index Kedalaman Kemiskinan,2023,Malinau,0.37
Index Kedalaman Kemiskinan,2023,Bulungan,0.84
Index Kedalaman Kemiskinan,2023,Tana Tidung,0.14
Index Kedalaman Kemiskinan,2023,Nunukan,0.59
Index Kedalaman Kemiskinan,2023,Kota Tarakan,0.79
Index Kedalaman Kemiskinan,2023,SULAWESI UTARA,1.09
Index Kedalaman Kemiskinan,2023,Bolaang Mongondow,0.55
Index Kedalaman Kemiskinan,2023,Minahasa,1.51
Index Kedalaman Kemiskinan,2023,Kepulauan Sangihe,2.01
Index Kedalaman Kemiskinan,2023,Kepulauan Talaud,1.18
Index Kedalaman Kemiskinan,2023,Minahasa Selatan,1.14
Index Kedalaman Kemiskinan,2023,Minahasa Utara,1.13
Index Kedalaman Kemiskinan,2023,Bolaang Mongondow Utara,0.81
Index Kedalaman Kemiskinan,2023,Siau Tagulandang Biaro,0.95
Index Kedalaman Kemiskinan,2023,Minahasa Tenggara,1.47
Index Kedalaman Kemiskinan,2023,Bolaang Mongondow Selatan,1.47
Index Kedalaman Kemiskinan,2023,Bolaang Mongondow Timur,0.66
Index Kedalaman Kemiskinan,2023,Kota Manado,0.93
Index Kedalaman Kemiskinan,2023,Kota Bitung,0.99
Index Kedalaman Kemiskinan,2023,Kota Tomohon,0.89
Index Kedalaman Kemiskinan,2023,Kota Kotamobagu,0.59
Index Kedalaman Kemiskinan,2023,SULAWESI TENGAH,2.12
Index Kedalaman Kemiskinan,2023,Banggai Kepulauan,2.23
Index Kedalaman Kemiskinan,2023,Banggai,0.8
Index Kedalaman Kemiskinan,2023,Morowali,1.52
Index Kedalaman Kemiskinan,2023,Poso,2.58
Index Kedalaman Kemiskinan,2023,Donggala,2.65
Index Kedalaman Kemiskinan,2023,Toli-Toli,1.59
Index Kedalaman Kemiskinan,2023,Buol,1.63
Index Kedalaman Kemiskinan,2023,Parigi Moutong,2.61
Index Kedalaman Kemiskinan,2023,Tojo Una-Una,2.42
Index Kedalaman Kemiskinan,2023,Sigi,2.4
Index Kedalaman Kemiskinan,2023,Banggai Laut,1.82
Index Kedalaman Kemiskinan,2023,Morowali Utara,2.33
Index Kedalaman Kemiskinan,2023,Kota Palu,0.84
Index Kedalaman Kemiskinan,2023,SULAWESI SELATAN,1.57
Index Kedalaman Kemiskinan,2023,Kepulauan Selayar,2.36
Index Kedalaman Kemiskinan,2023,Bulukumba,1.16
Index Kedalaman Kemiskinan,2023,Bantaeng,1.21
Index Kedalaman Kemiskinan,2023,Jeneponto,2.23
Index Kedalaman Kemiskinan,2023,Takalar,0.81
Index Kedalaman Kemiskinan,2023,Gowa,0.72
Index Kedalaman Kemiskinan,2023,Sinjai,0.98
Index Kedalaman Kemiskinan,2023,Maros,1.89
Index Kedalaman Kemiskinan,2023,Pangkajene Dan Kepulauan,2.15
Index Kedalaman Kemiskinan,2023,Barru,1.48
Index Kedalaman Kemiskinan,2023,Bone,1.23
Index Kedalaman Kemiskinan,2023,Soppeng,1.44
Index Kedalaman Kemiskinan,2023,Wajo,1.34
Index Kedalaman Kemiskinan,2023,Sidenreng Rappang,0.54
Index Kedalaman Kemiskinan,2023,Pinrang,1.22
Index Kedalaman Kemiskinan,2023,Enrekang,1.96
Index Kedalaman Kemiskinan,2023,Luwu,2.19
Index Kedalaman Kemiskinan,2023,Tana Toraja,1.8
Index Kedalaman Kemiskinan,2023,Luwu Utara,2.2
Index Kedalaman Kemiskinan,2023,Luwu Timur,1.46
Index Kedalaman Kemiskinan,2023,Toraja Utara,2.47
Index Kedalaman Kemiskinan,2023,Kota Makassar,0.62
Index Kedalaman Kemiskinan,2023,Kota Parepare,0.58
Index Kedalaman Kemiskinan,2023,Kota Palopo,1.1
